,Ancestry,Donor Category,Date,Mean
439,Multi,Non-ID Graduate,03/21/2022,10.0
149,Black,Non-ID,03/17/2022,10.0
151,Black,Non-ID,03/19/2022,10.0
152,Black,Non-ID,03/20/2022,10.0
153,Black,Non-ID,03/21/2022,10.0
330,Latino,Non-ID Graduate,02/28/2022,10.0
331,Latino,Non-ID Graduate,03/01/2022,10.0
332,Latino,Non-ID Graduate,03/02/2022,10.0
333,Latino,Non-ID Graduate,03/03/2022,10.0
334,Latino,Non-ID Graduate,03/04/2022,10.0
335,Latino,Non-ID Graduate,03/05/2022,10.0
336,Latino,Non-ID Graduate,03/06/2022,10.0
337,Latino,Non-ID Graduate,03/07/2022,10.0
338,Latino,Non-ID Graduate,03/08/2022,10.0
95,Black,ID,03/07/2022,10.0
340,Latino,Non-ID Graduate,03/10/2022,10.0
341,Latino,Non-ID Graduate,03/11/2022,10.0
342,Latino,Non-ID Graduate,03/12/2022,10.0
343,Latino,Non-ID Graduate,03/13/2022,10.0
150,Black,Non-ID,03/18/2022,10.0
148,Black,Non-ID,03/16/2022,10.0
345,Latino,Non-ID Graduate,03/15/2022,10.0
147,Black,Non-ID,03/15/2022,10.0
93,Black,ID,03/05/2022,10.0
92,Black,ID,03/04/2022,10.0
96,Black,ID,03/08/2022,10.0
97,Black,ID,03/09/2022,10.0
98,Black,ID,03/10/2022,10.0
99,Black,ID,03/11/2022,10.0
100,Black,ID,03/12/2022,10.0
103,Black,ID,03/15/2022,10.0
105,Black,ID,03/17/2022,10.0
106,Black,ID,03/18/2022,10.0
107,Black,ID,03/19/2022,10.0
108,Black,ID,03/20/2022,10.0
109,Black,ID,03/21/2022,10.0
143,Black,Non-ID,03/11/2022,10.0
144,Black,Non-ID,03/12/2022,10.0
145,Black,Non-ID,03/13/2022,10.0
146,Black,Non-ID,03/14/2022,10.0
344,Latino,Non-ID Graduate,03/14/2022,10.0
339,Latino,Non-ID Graduate,03/09/2022,10.0
346,Latino,Non-ID Graduate,03/16/2022,10.0
428,Multi,Non-ID Graduate,03/10/2022,10.0
419,Multi,Non-ID Graduate,03/01/2022,10.0
420,Multi,Non-ID Graduate,03/02/2022,10.0
421,Multi,Non-ID Graduate,03/03/2022,10.0
422,Multi,Non-ID Graduate,03/04/2022,10.0
423,Multi,Non-ID Graduate,03/05/2022,10.0
424,Multi,Non-ID Graduate,03/06/2022,10.0
425,Multi,Non-ID Graduate,03/07/2022,10.0
426,Multi,Non-ID Graduate,03/08/2022,10.0
427,Multi,Non-ID Graduate,03/09/2022,10.0
429,Multi,Non-ID Graduate,03/11/2022,10.0
347,Latino,Non-ID Graduate,03/17/2022,10.0
430,Multi,Non-ID Graduate,03/12/2022,10.0
431,Multi,Non-ID Graduate,03/13/2022,10.0
432,Multi,Non-ID Graduate,03/14/2022,10.0
433,Multi,Non-ID Graduate,03/15/2022,10.0
434,Multi,Non-ID Graduate,03/16/2022,10.0
435,Multi,Non-ID Graduate,03/17/2022,10.0
436,Multi,Non-ID Graduate,03/18/2022,10.0
437,Multi,Non-ID Graduate,03/19/2022,10.0
438,Multi,Non-ID Graduate,03/20/2022,10.0
418,Multi,Non-ID Graduate,02/28/2022,10.0
94,Black,ID,03/06/2022,10.0
351,Latino,Non-ID Graduate,03/21/2022,10.0
412,Multi,Non-ID,03/16/2022,10.0
411,Multi,Non-ID,03/15/2022,10.0
410,Multi,Non-ID,03/14/2022,10.0
409,Multi,Non-ID,03/13/2022,10.0
408,Multi,Non-ID,03/12/2022,10.0
407,Multi,Non-ID,03/11/2022,10.0
413,Multi,Non-ID,03/17/2022,10.0
350,Latino,Non-ID Graduate,03/20/2022,10.0
349,Latino,Non-ID Graduate,03/19/2022,10.0
348,Latino,Non-ID Graduate,03/18/2022,10.0
417,Multi,Non-ID,03/21/2022,8.714285714285714
416,Multi,Non-ID,03/20/2022,8.714285714285714
415,Multi,Non-ID,03/19/2022,8.714285714285714
414,Multi,Non-ID,03/18/2022,8.714285714285714
406,Multi,Non-ID,03/10/2022,8.571428571428571
157,Black,Non-ID Graduate,03/03/2022,8.5
155,Black,Non-ID Graduate,03/01/2022,8.5
156,Black,Non-ID Graduate,03/02/2022,8.5
165,Black,Non-ID Graduate,03/11/2022,8.5
164,Black,Non-ID Graduate,03/10/2022,8.5
163,Black,Non-ID Graduate,03/09/2022,8.5
162,Black,Non-ID Graduate,03/08/2022,8.5
161,Black,Non-ID Graduate,03/07/2022,8.5
160,Black,Non-ID Graduate,03/06/2022,8.5
159,Black,Non-ID Graduate,03/05/2022,8.5
154,Black,Non-ID Graduate,02/28/2022,8.5
158,Black,Non-ID Graduate,03/04/2022,8.5
1,Asian,ID,03/01/2022,7.681818181818182
0,Asian,ID,02/28/2022,7.681818181818182
403,Multi,Non-ID,03/07/2022,7.625
402,Multi,Non-ID,03/06/2022,7.625
400,Multi,Non-ID,03/04/2022,7.625
399,Multi,Non-ID,03/03/2022,7.625
398,Multi,Non-ID,03/02/2022,7.625
397,Multi,Non-ID,03/01/2022,7.625
396,Multi,Non-ID,02/28/2022,7.625
404,Multi,Non-ID,03/08/2022,7.625
405,Multi,Non-ID,03/09/2022,7.625
401,Multi,Non-ID,03/05/2022,7.625
70,Asian,Non-ID Graduate,03/04/2022,7.6
69,Asian,Non-ID Graduate,03/03/2022,7.6
71,Asian,Non-ID Graduate,03/05/2022,7.6
67,Asian,Non-ID Graduate,03/01/2022,7.6
66,Asian,Non-ID Graduate,02/28/2022,7.6
80,Asian,Non-ID Graduate,03/14/2022,7.6
79,Asian,Non-ID Graduate,03/13/2022,7.6
72,Asian,Non-ID Graduate,03/06/2022,7.6
78,Asian,Non-ID Graduate,03/12/2022,7.6
77,Asian,Non-ID Graduate,03/11/2022,7.6
76,Asian,Non-ID Graduate,03/10/2022,7.6
75,Asian,Non-ID Graduate,03/09/2022,7.6
74,Asian,Non-ID Graduate,03/08/2022,7.6
68,Asian,Non-ID Graduate,03/02/2022,7.6
73,Asian,Non-ID Graduate,03/07/2022,7.6
81,Asian,Non-ID Graduate,03/15/2022,7.6
82,Asian,Non-ID Graduate,03/16/2022,7.6
266,Latino,ID,03/02/2022,7.6
87,Asian,Non-ID Graduate,03/21/2022,7.6
86,Asian,Non-ID Graduate,03/20/2022,7.6
85,Asian,Non-ID Graduate,03/19/2022,7.6
84,Asian,Non-ID Graduate,03/18/2022,7.6
83,Asian,Non-ID Graduate,03/17/2022,7.6
45,Asian,Non-ID,03/01/2022,7.5625
44,Asian,Non-ID,02/28/2022,7.5625
48,Asian,Non-ID,03/04/2022,7.5625
57,Asian,Non-ID,03/13/2022,7.5625
49,Asian,Non-ID,03/05/2022,7.5625
52,Asian,Non-ID,03/08/2022,7.5625
51,Asian,Non-ID,03/07/2022,7.5625
50,Asian,Non-ID,03/06/2022,7.5625
65,Asian,Non-ID,03/21/2022,7.5625
47,Asian,Non-ID,03/03/2022,7.5625
63,Asian,Non-ID,03/19/2022,7.5625
62,Asian,Non-ID,03/18/2022,7.5625
61,Asian,Non-ID,03/17/2022,7.5625
60,Asian,Non-ID,03/16/2022,7.5625
59,Asian,Non-ID,03/15/2022,7.5625
58,Asian,Non-ID,03/14/2022,7.5625
64,Asian,Non-ID,03/20/2022,7.5625
46,Asian,Non-ID,03/02/2022,7.5625
53,Asian,Non-ID,03/09/2022,7.5625
54,Asian,Non-ID,03/10/2022,7.5625
55,Asian,Non-ID,03/11/2022,7.5625
56,Asian,Non-ID,03/12/2022,7.5625
275,Latino,ID,03/11/2022,7.5
166,Black,Non-ID Graduate,03/12/2022,7.5
278,Latino,ID,03/14/2022,7.5
279,Latino,ID,03/15/2022,7.5
280,Latino,ID,03/16/2022,7.5
283,Latino,ID,03/19/2022,7.5
274,Latino,ID,03/10/2022,7.5
273,Latino,ID,03/09/2022,7.5
281,Latino,ID,03/17/2022,7.5
276,Latino,ID,03/12/2022,7.5
277,Latino,ID,03/13/2022,7.5
284,Latino,ID,03/20/2022,7.5
14,Asian,ID,03/14/2022,7.454545454545454
2,Asian,ID,03/02/2022,7.454545454545454
7,Asian,ID,03/07/2022,7.454545454545454
8,Asian,ID,03/08/2022,7.454545454545454
9,Asian,ID,03/09/2022,7.454545454545454
6,Asian,ID,03/06/2022,7.454545454545454
5,Asian,ID,03/05/2022,7.454545454545454
4,Asian,ID,03/04/2022,7.454545454545454
13,Asian,ID,03/13/2022,7.454545454545454
12,Asian,ID,03/12/2022,7.454545454545454
11,Asian,ID,03/11/2022,7.454545454545454
10,Asian,ID,03/10/2022,7.454545454545454
3,Asian,ID,03/03/2022,7.454545454545454
268,Latino,ID,03/04/2022,7.4
267,Latino,ID,03/03/2022,7.4
269,Latino,ID,03/05/2022,7.4
282,Latino,ID,03/18/2022,7.4
270,Latino,ID,03/06/2022,7.4
255,Caucasian,Non-ID Graduate,03/13/2022,7.294117647058823
256,Caucasian,Non-ID Graduate,03/14/2022,7.294117647058823
286,Latino,ID Graduate,02/28/2022,7.25
287,Latino,ID Graduate,03/01/2022,7.25
288,Latino,ID Graduate,03/02/2022,7.25
248,Caucasian,Non-ID Graduate,03/06/2022,7.222222222222222
247,Caucasian,Non-ID Graduate,03/05/2022,7.222222222222222
246,Caucasian,Non-ID Graduate,03/04/2022,7.222222222222222
245,Caucasian,Non-ID Graduate,03/03/2022,7.222222222222222
244,Caucasian,Non-ID Graduate,03/02/2022,7.222222222222222
250,Caucasian,Non-ID Graduate,03/08/2022,7.222222222222222
243,Caucasian,Non-ID Graduate,03/01/2022,7.222222222222222
242,Caucasian,Non-ID Graduate,02/28/2022,7.222222222222222
249,Caucasian,Non-ID Graduate,03/07/2022,7.222222222222222
360,Multi,ID,03/08/2022,7.2105263157894735
21,Asian,ID,03/21/2022,7.173913043478261
15,Asian,ID,03/15/2022,7.173913043478261
16,Asian,ID,03/16/2022,7.173913043478261
20,Asian,ID,03/20/2022,7.173913043478261
19,Asian,ID,03/19/2022,7.173913043478261
18,Asian,ID,03/18/2022,7.173913043478261
17,Asian,ID,03/17/2022,7.173913043478261
251,Caucasian,Non-ID Graduate,03/09/2022,7.166666666666667
252,Caucasian,Non-ID Graduate,03/10/2022,7.055555555555555
253,Caucasian,Non-ID Graduate,03/11/2022,7.055555555555555
254,Caucasian,Non-ID Graduate,03/12/2022,7.0
111,Black,ID Graduate,03/01/2022,7.0
167,Black,Non-ID Graduate,03/13/2022,7.0
168,Black,Non-ID Graduate,03/14/2022,7.0
290,Latino,ID Graduate,03/04/2022,7.0
289,Latino,ID Graduate,03/03/2022,7.0
355,Multi,ID,03/03/2022,6.947368421052632
356,Multi,ID,03/04/2022,6.894736842105263
