"_col0","main_category","new_customer","_col3"
"2020-04-15","Home Appliances",1,1506
"2020-03-17","Home Appliances",1,538
"2020-03-08","Mobile & Accessories",1,2170
"2020-03-14","Consumer Electronics",1,279
"2020-04-09","Consumer Electronics",1,13014
"2020-04-01","Home Appliances",1,886
"2020-03-22","Consumer Electronics",0,4183
"2020-03-26","Home Appliances",1,1133
"2020-03-21","Computer & Laptop",1,138
"2020-03-30","Mobile & Accessories",1,1437
"2020-04-13","Computer & Laptop",0,2583
"2020-03-19","Mobile & Accessories",1,1491
"2020-04-02","Consumer Electronics",1,360
"2020-03-22","Home Appliances",1,871
"2020-03-12","Consumer Electronics",0,1872
"2020-04-02","Mobile & Accessories",1,1156
"2020-03-20","Computer & Laptop",0,496
"2020-04-08","Consumer Electronics",1,3867
"2020-03-08","Computer & Laptop",1,132
"2020-03-27","Computer & Laptop",1,225
"2020-04-12","Mobile & Accessories",1,2072
"2020-03-28","Computer & Laptop",0,353
"2020-03-29","Mobile & Accessories",0,24955
"2020-03-27","Consumer Electronics",1,1091
"2020-03-16","Mobile & Accessories",1,982
"2020-04-03","Mobile & Accessories",0,19876
"2020-04-07","Home Appliances",1,3807
"2020-03-21","Home Appliances",0,2597
"2020-04-07","Consumer Electronics",0,17507
"2020-04-12","Home Appliances",0,3297
"2020-04-05","Mobile & Accessories",1,1035
"2020-04-08","Consumer Electronics",0,27198
"2020-04-04","Home Appliances",0,6081
"2020-04-12","Consumer Electronics",0,3720
"2020-04-11","Consumer Electronics",1,524
"2020-03-27","Consumer Electronics",0,9276
"2020-03-16","Mobile & Accessories",0,17221
"2020-04-05","Computer & Laptop",0,779
"2020-04-04","Computer & Laptop",1,142
"2020-03-13","Mobile & Accessories",1,1271
"2020-04-15","Computer & Laptop",0,1379
"2020-03-10","Home Appliances",1,4225
"2020-03-20","Consumer Electronics",0,2834
"2020-04-13","Mobile & Accessories",1,4936
"2020-03-20","Home Appliances",0,5177
"2020-03-31","Mobile & Accessories",0,25454
"2020-03-15","Computer & Laptop",0,262
"2020-03-24","Consumer Electronics",1,2301
"2020-03-09","Consumer Electronics",0,6899
"2020-04-06","Home Appliances",0,4842
"2020-04-12","Computer & Laptop",1,81
"2020-03-24","Mobile & Accessories",0,90416
"2020-03-23","Mobile & Accessories",1,1263
"2020-04-06","Consumer Electronics",1,592
"2020-03-19","Consumer Electronics",0,2777
"2020-03-20","Computer & Laptop",1,115
"2020-03-15","Consumer Electronics",0,2614
"2020-04-11","Home Appliances",1,625
"2020-04-14","Computer & Laptop",1,176
